Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
  181	 41.654559	 42.269780	 42.010563	 41.809876	  min	  0.973187	  0.953927	  0.957471	  0.967358	     
  182	 42.177012	 42.594899	 42.314258	 42.266854	     	  0.973976	  0.955631	  0.959159	  0.968449	     
  183	 41.562792	 42.161549	 41.936486	 41.718445	  min	  0.972715	  0.953229	  0.956944	  0.966838	     
  184	 42.574621	 42.926656	 42.749489	 42.660385	     	  0.974167	  0.957466	  0.961587	  0.969287	     
  185	 41.417779	 42.052924	 41.861536	 41.589934	  min	  0.972135	  0.952008	  0.956057	  0.966101	     
  186	 41.676425	 42.436500	 42.273947	 41.890887	     	  0.972392	  0.954189	  0.958686	  0.967074	     
  187	 41.279456	 41.868281	 41.676799	 41.437352	  min	  0.971404	  0.950371	  0.954507	  0.965083	     
  188	 41.962243	 42.597736	 42.459078	 42.142717	     	  0.972045	  0.954812	  0.959353	  0.967057	     
  189	 41.434743	 41.938398	 41.803585	 41.575183	     	  0.971715	  0.950409	  0.954775	  0.965340	     
  190	 41.748358	 42.442671	 42.366555	 41.956232	     	  0.971610	  0.953417	  0.958415	  0.966379	     
  191	 41.947301	 42.348275	 42.265636	 42.063845	     	  0.972456	  0.952368	  0.957275	  0.966577	     
  192	 42.502608	 42.579196	 42.614471	 42.533778	     	  0.974036	  0.955176	  0.960795	  0.968686	     
  193	 41.256220	 41.672576	 41.697410	 41.394488	  min	  0.971692	  0.949697	  0.954795	  0.965210	     
  194	 41.432859	 42.170045	 42.331508	 41.688537	     	  0.971588	  0.952560	  0.958561	  0.966246	     
  195	 40.683509	 41.437820	 41.523730	 40.933285	  min	  0.969603	  0.947498	  0.953149	  0.963176	     
  196	 40.839176	 41.956911	 42.140591	 41.205901	     	  0.969307	  0.950543	  0.957471	  0.964207	     
  197	 40.413495	 41.163789	 41.276379	 40.665965	  min	  0.969015	  0.944630	  0.950714	  0.961901	     
  198	 40.776032	 41.533259	 41.688493	 41.036677	     	  0.969663	  0.946923	  0.953544	  0.963187	     
  199	 39.976666	 40.979459	 41.112754	 40.304587	  min	  0.967525	  0.942391	  0.949186	  0.960280	     
  200	 40.578625	 41.433048	 41.648780	 40.875927	     	  0.968279	  0.945560	  0.953655	  0.962055	     
  201	 39.927527	 40.855606	 41.051846	 40.243083	  min	  0.967211	  0.940589	  0.947935	  0.959561	     
  202	 40.605764	 41.067477	 41.319037	 40.792348	     	  0.968881	  0.941908	  0.949829	  0.961210	     
  203	 39.825878	 40.780532	 41.038551	 40.157398	  min	  0.966746	  0.939845	  0.947859	  0.959115	     
  204	 40.463344	 41.105697	 41.513449	 40.726119	     	  0.967687	  0.942347	  0.951752	  0.960808	     
  205	 39.765439	 40.754014	 41.104723	 40.118872	  min	  0.966721	  0.939254	  0.947667	  0.958967	     
  206	 40.511705	 40.937470	 41.287528	 40.701812	     	  0.968606	  0.940308	  0.948835	  0.960594	     
  207	 39.796818	 40.752384	 41.113229	 40.142440	     	  0.966727	  0.939323	  0.947870	  0.959017	     
  208	 40.361443	 40.950742	 41.421557	 40.617461	     	  0.967463	  0.940626	  0.950149	  0.960105	     
  209	 39.937689	 40.710373	 41.185256	 40.247161	     	  0.967350	  0.938992	  0.947911	  0.959384	     
  210	 40.228646	 40.790523	 41.238524	 40.473434	     	  0.968007	  0.938968	  0.947945	  0.959823	     
  211	 40.100308	 40.657375	 41.167895	 40.352368	     	  0.967499	  0.938646	  0.947954	  0.959433	     
  212	 40.275414	 40.715458	 41.229600	 40.493310	     	  0.966956	  0.938355	  0.947961	  0.959023	     
  213	 40.033263	 40.630944	 41.225198	 40.308599	     	  0.967272	  0.938600	  0.947843	  0.959255	     
  214	 40.206307	 40.688986	 41.230495	 40.440722	     	  0.967776	  0.938146	  0.947409	  0.959443	     
  215	 39.937476	 40.443615	 41.081324	 40.192020	     	  0.966992	  0.936858	  0.946413	  0.958540	     
  216	 40.106024	 40.464273	 41.061237	 40.311008	     	  0.966579	  0.935720	  0.945309	  0.957891	     
  217	 39.966731	 40.353550	 41.036304	 40.192172	     	  0.967270	  0.935781	  0.945279	  0.958357	     
  218	 40.136024	 40.483816	 41.073699	 40.336861	     	  0.967727	  0.936045	  0.944947	  0.958650	     
  219	 39.588613	 40.208636	 40.853460	 39.877175	  min	  0.966113	  0.934280	  0.943147	  0.956980	     
  220	 40.000908	 40.267334	 40.873685	 40.179373	     	  0.966459	  0.933626	  0.942547	  0.957001	     
  221	 39.181247	 39.949607	 40.644100	 39.518365	  min	  0.965080	  0.931326	  0.940576	  0.955370	     
  222	 39.541065	 40.050427	 40.655247	 39.792075	     	  0.966032	  0.931480	  0.940156	  0.955961	     
  223	 38.678494	 39.693560	 40.352824	 39.078809	  min	  0.963005	  0.928163	  0.937466	  0.952941	     
  224	 39.244114	 39.861123	 40.514586	 39.532959	     	  0.963507	  0.928920	  0.938331	  0.953546	     
  225	 38.536766	 39.454182	 40.158850	 38.916310	  min	  0.962438	  0.925070	  0.935073	  0.951649	     
